,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,2,7,9,7,8,0,0,0,0,1,2,0.65,0.85,0.95,1.0,0.0,0.0,1.0,1.0
1,6,5,6,2,5,1,0,1,1,0,3,0.85,0.7,0.5,0.0,0.0,1.0,1.0,1.0
2,1,8,9,3,3,1,1,1,0,1,0,0.9,0.35,0.6,1.0,0.0,0.0,0.0,1.0
3,9,10,8,1,4,1,1,0,1,0,4,0.95,0.7,0.25,0.0,0.0,1.0,1.0,1.0
4,1,2,6,2,10,0,1,0,1,1,4,0.65,0.35,0.55,1.0,0.0,1.0,0.0,1.0
5,1,10,5,10,1,1,1,1,0,0,4,0.7,0.15,1.0,1.0,0.0,0.0,1.0,1.0
6,4,5,6,8,8,1,1,0,1,0,1,0.85,0.8,0.95,1.0,0.0,0.0,1.0,1.0
7,8,3,6,10,3,0,0,1,1,1,2,0.85,0.35,1.0,0.0,1.0,0.0,1.0,1.0
8,5,2,2,2,10,1,1,0,0,0,3,0.25,0.35,0.3,1.0,0.0,1.0,1.0,1.0
9,1,7,7,2,1,0,1,1,0,0,1,0.7,0.1,0.3,1.0,0.0,1.0,1.0,1.0
10,7,1,9,10,3,1,1,0,1,1,2,1.0,0.05,1.0,0.0,1.0,0.0,0.0,1.0
11,3,10,0,6,10,0,0,1,1,0,4,0.05,1.0,0.9,1.0,0.0,0.0,1.0,1.0
12,0,4,6,2,0,1,1,1,0,0,2,0.7,0.05,0.3,1.0,1.0,1.0,1.0,1.0
13,4,1,4,2,3,0,0,1,1,1,4,0.65,0.15,0.55,1.0,1.0,1.0,1.0,1.0
14,9,5,0,9,6,0,0,1,1,0,4,0.15,0.75,1.0,1.0,0.0,0.0,1.0,1.0
15,3,0,4,8,7,0,1,1,0,1,1,0.7,0.05,0.95,1.0,1.0,0.0,1.0,1.0
16,7,8,9,8,10,1,1,1,1,0,4,1.0,1.0,0.95,0.0,0.0,0.0,1.0,1.0
17,7,6,0,2,9,1,1,1,1,1,3,0.2,0.9,0.55,1.0,0.0,1.0,0.0,1.0
18,5,0,9,7,2,1,1,1,0,0,1,0.95,0.0,0.95,0.0,1.0,0.0,1.0,1.0
19,0,3,5,7,2,0,0,0,0,1,4,0.25,0.1,0.95,1.0,1.0,0.0,1.0,1.0
20,6,8,0,2,4,0,0,0,0,1,1,0.0,0.55,0.5,1.0,0.0,1.0,1.0,1.0
21,8,6,10,1,2,1,0,1,1,0,4,1.0,0.35,0.25,0.0,0.0,1.0,1.0,1.0
22,7,7,10,10,9,0,0,1,0,1,0,0.95,0.9,1.0,0.0,0.0,0.0,1.0,1.0
23,1,4,7,9,10,0,0,0,1,0,0,0.45,0.7,1.0,1.0,0.0,0.0,1.0,1.0
24,6,0,5,2,4,1,1,1,0,1,1,0.9,0.05,0.5,0.0,1.0,1.0,0.0,1.0
25,3,2,7,6,5,0,0,0,1,0,1,0.7,0.3,0.9,1.0,1.0,0.0,1.0,1.0
26,1,7,0,6,8,1,1,0,1,1,4,0.0,0.9,0.95,1.0,0.0,0.0,0.0,1.0
27,2,8,6,1,9,0,1,1,0,0,0,0.7,1.0,0.15,1.0,0.0,1.0,1.0,1.0
28,2,4,4,1,7,1,0,0,1,0,2,0.55,0.7,0.25,1.0,0.0,1.0,1.0,1.0
29,7,4,7,4,1,1,1,0,1,0,1,0.9,0.2,0.7,0.0,1.0,0.0,1.0,1.0
30,5,9,3,10,2,0,0,0,1,0,4,0.5,0.4,1.0,1.0,0.0,0.0,1.0,1.0
31,8,6,9,1,8,1,1,0,0,1,2,1.0,0.85,0.25,0.0,0.0,1.0,0.0,1.0
32,5,5,7,2,1,1,1,1,0,1,2,0.9,0.1,0.5,1.0,0.0,1.0,0.0,1.0
33,1,0,1,9,7,0,0,0,1,0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
