,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,3,10,9,1,10,1,0,0,1,1,1,0.88,0.97,0.24,1.0,0.0,1.0,1.0,1.0
1,9,9,4,10,9,1,1,1,0,0,1,0.68,0.93,0.99,0.0,0.0,0.0,1.0,1.0
2,2,9,8,10,9,0,0,1,1,1,3,0.58,0.95,1.0,1.0,0.0,0.0,1.0,1.0
3,4,10,8,9,4,1,1,1,1,0,2,0.95,0.67,0.99,1.0,0.0,0.0,1.0,1.0
4,1,10,0,8,9,1,0,1,1,1,1,0.07,0.96,0.97,1.0,0.0,0.0,1.0,1.0
5,2,5,10,2,10,1,1,0,0,0,2,0.91,0.69,0.22,1.0,0.0,1.0,1.0,1.0
6,3,2,7,0,5,1,1,1,0,1,3,0.89,0.16,0.02,1.0,1.0,1.0,0.0,1.0
7,7,9,3,2,10,0,0,1,1,1,0,0.6,0.97,0.44,0.0,0.0,1.0,1.0,1.0
8,3,1,9,7,4,1,0,1,0,1,3,0.88,0.06,0.92,1.0,1.0,0.0,1.0,1.0
9,7,10,7,9,7,1,1,1,1,0,2,0.95,0.92,0.99,0.0,0.0,0.0,1.0,1.0
10,4,1,5,2,4,0,1,1,1,1,1,0.79,0.1,0.44,1.0,1.0,1.0,0.0,1.0
11,7,2,8,10,4,0,1,0,1,0,0,0.93,0.16,1.0,0.0,1.0,0.0,1.0,1.0
12,5,8,7,1,3,1,1,1,1,1,2,0.94,0.49,0.24,1.0,0.0,1.0,0.0,1.0
13,2,10,6,6,10,1,0,1,1,0,2,0.73,0.98,0.87,1.0,0.0,0.0,1.0,1.0
14,7,0,10,1,9,1,0,1,1,1,0,0.98,0.02,0.24,0.0,1.0,1.0,1.0,1.0
15,3,9,0,9,10,1,0,1,1,0,0,0.05,0.97,0.99,1.0,0.0,0.0,1.0,1.0
16,3,6,10,2,4,1,1,1,0,0,2,0.95,0.42,0.22,1.0,0.0,1.0,1.0,1.0
17,4,5,10,9,9,0,0,1,1,1,3,0.83,0.77,1.0,0.0,0.0,0.0,1.0,1.0
18,9,7,9,5,6,0,0,1,1,0,0,0.98,0.79,0.81,0.0,0.0,0.0,1.0,1.0
19,3,9,9,4,5,1,1,1,1,0,0,0.95,0.76,0.71,1.0,0.0,0.0,1.0,1.0
20,4,4,5,9,1,0,0,1,0,1,1,0.69,0.02,0.99,1.0,1.0,0.0,1.0,1.0
21,5,1,4,2,5,0,0,1,1,1,4,0.69,0.12,0.44,1.0,1.0,1.0,1.0,1.0
22,4,9,7,5,9,1,0,1,1,1,3,0.89,0.95,0.84,1.0,0.0,0.0,1.0,1.0
23,7,4,10,10,9,0,0,1,1,0,4,0.96,0.67,1.0,0.0,0.0,0.0,1.0,1.0
24,7,9,4,2,10,0,1,1,1,1,4,0.75,0.97,0.44,0.0,0.0,1.0,0.0,1.0
25,3,9,9,10,5,1,0,1,1,1,0,0.89,0.76,1.0,1.0,0.0,0.0,1.0,1.0
26,4,5,4,9,9,0,0,1,1,1,0,0.65,0.77,1.0,1.0,0.0,0.0,1.0,1.0
27,3,10,10,2,0,1,0,1,1,1,1,0.89,0.03,0.44,1.0,1.0,1.0,1.0,1.0
28,5,0,6,10,2,0,0,0,0,1,0,0.73,0.0,1.0,1.0,1.0,0.0,1.0,1.0
29,4,6,8,7,0,1,0,0,1,1,2,0.89,0.03,0.94,1.0,1.0,0.0,1.0,1.0
30,4,1,7,9,4,1,1,1,1,1,3,0.93,0.1,1.0,1.0,1.0,0.0,0.0,1.0
31,5,2,3,2,5,1,1,1,1,1,1,0.6,0.27,0.44,1.0,1.0,1.0,0.0,1.0
32,5,8,7,8,9,1,0,1,1,1,3,0.92,0.94,0.97,1.0,0.0,0.0,1.0,1.0
33,10,1,9,7,4,1,0,1,1,1,1,0.99,0.1,0.94,0.0,1.0,0.0,1.0,1.0
34,4,9,7,9,7,1,1,0,1,1,3,0.87,0.91,1.0,1.0,0.0,0.0,0.0,1.0
35,4,9,4,2,10,0,1,1,0,1,4,0.67,0.95,0.37,1.0,0.0,1.0,1.0,1.0
36,4,9,9,4,3,1,1,1,1,0,3,0.97,0.5,0.71,1.0,0.0,0.0,1.0,1.0
37,8,1,10,2,4,1,0,1,0,0,1,0.98,0.06,0.22,0.0,1.0,1.0,1.0,1.0
38,5,4,9,9,0,1,1,1,1,1,3,0.98,0.03,1.0,0.0,1.0,0.0,0.0,1.0
39,4,9,8,0,9,1,0,1,1,1,3,0.91,0.95,0.08,1.0,0.0,1.0,1.0,1.0
40,9,6,10,2,3,1,0,0,1,1,2,0.99,0.42,0.44,0.0,0.0,1.0,1.0,1.0
