,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,0,2,3,10,4,0,1,0,1,1,0,0.19,0.16,1.0,1.0,1.0,0.0,0.0,1.0
1,3,10,9,1,10,1,0,0,1,1,1,0.88,0.97,0.24,1.0,0.0,1.0,1.0,1.0
2,9,9,4,10,9,1,1,1,0,0,1,0.68,0.93,0.99,0.0,0.0,0.0,1.0,1.0
3,9,8,9,6,6,0,0,1,0,0,0,0.97,0.73,0.83,0.0,0.0,0.0,1.0,1.0
4,8,7,5,2,10,0,0,1,1,0,4,0.83,0.93,0.39,0.0,0.0,1.0,1.0,1.0
5,2,9,8,10,9,0,0,1,1,1,3,0.58,0.95,1.0,1.0,0.0,0.0,1.0,1.0
6,6,3,0,1,2,1,1,0,1,0,3,0.01,0.14,0.13,1.0,1.0,1.0,1.0,1.0
7,3,2,6,5,2,1,1,1,1,0,2,0.85,0.11,0.81,1.0,1.0,0.0,1.0,1.0
8,4,10,8,9,4,1,1,1,1,0,2,0.95,0.67,0.99,1.0,0.0,0.0,1.0,1.0
9,7,10,9,6,4,1,1,1,0,0,3,0.98,0.47,0.83,0.0,0.0,0.0,1.0,1.0
10,1,10,0,8,9,1,0,1,1,1,1,0.07,0.96,0.97,1.0,0.0,0.0,1.0,1.0
11,0,1,1,6,5,0,0,1,1,1,1,0.06,0.12,0.91,1.0,1.0,0.0,1.0,1.0
12,5,9,3,2,10,1,1,0,0,1,0,0.32,0.95,0.37,1.0,0.0,1.0,0.0,1.0
13,2,4,5,1,1,1,1,1,1,0,3,0.79,0.08,0.13,1.0,1.0,1.0,1.0,1.0
14,7,7,10,0,0,0,1,1,1,0,0,0.98,0.03,0.03,0.0,1.0,1.0,1.0,1.0
15,1,9,10,9,6,0,1,1,1,1,2,0.68,0.83,1.0,1.0,0.0,0.0,0.0,1.0
16,2,5,10,2,10,1,1,0,0,0,2,0.91,0.69,0.22,1.0,0.0,1.0,1.0,1.0
17,9,7,9,0,7,0,1,0,0,0,1,0.96,0.71,0.01,0.0,0.0,1.0,1.0,1.0
18,3,10,10,2,7,1,0,1,1,1,1,0.89,0.92,0.44,1.0,0.0,1.0,1.0,1.0
19,3,2,7,0,5,1,1,1,0,1,3,0.89,0.16,0.02,1.0,1.0,1.0,0.0,1.0
20,7,9,3,2,10,0,0,1,1,1,0,0.6,0.97,0.44,0.0,0.0,1.0,1.0,1.0
21,3,1,9,7,4,1,0,1,0,1,3,0.88,0.06,0.92,1.0,1.0,0.0,1.0,1.0
22,3,4,10,1,0,1,1,1,1,1,0,0.95,0.03,0.24,1.0,1.0,1.0,0.0,1.0
23,10,7,9,1,4,1,0,1,0,0,3,0.98,0.43,0.07,0.0,0.0,1.0,1.0,1.0
24,5,5,10,2,1,0,1,1,1,1,2,0.96,0.08,0.44,0.0,0.0,1.0,0.0,1.0
25,7,10,7,9,7,1,1,1,1,0,2,0.95,0.92,0.99,0.0,0.0,0.0,1.0,1.0
26,4,1,5,2,4,0,1,1,1,1,1,0.79,0.1,0.44,1.0,1.0,1.0,0.0,1.0
27,9,1,9,2,4,1,0,0,0,0,1,0.96,0.05,0.22,0.0,1.0,1.0,1.0,1.0
28,7,2,8,10,4,0,1,0,1,0,0,0.93,0.16,1.0,0.0,1.0,0.0,1.0,1.0
29,5,8,7,1,3,1,1,1,1,1,2,0.94,0.49,0.24,1.0,0.0,1.0,0.0,1.0
30,2,10,6,6,10,1,0,1,1,0,2,0.73,0.98,0.87,1.0,0.0,0.0,1.0,1.0
31,7,0,10,1,9,1,0,1,1,1,0,0.98,0.02,0.24,0.0,1.0,1.0,1.0,1.0
32,3,9,0,9,10,1,0,1,1,0,0,0.05,0.97,0.99,1.0,0.0,0.0,1.0,1.0
33,3,6,10,2,4,1,1,1,0,0,2,0.95,0.42,0.22,1.0,0.0,1.0,1.0,1.0
34,4,5,10,9,9,0,0,1,1,1,3,0.83,0.77,1.0,0.0,0.0,0.0,1.0,1.0
35,10,3,9,9,4,1,1,1,0,0,3,0.98,0.24,0.97,0.0,0.0,0.0,1.0,1.0
36,9,7,9,5,6,0,0,1,1,0,0,0.98,0.79,0.81,0.0,0.0,0.0,1.0,1.0
37,3,9,9,4,5,1,1,1,1,0,0,0.95,0.76,0.71,1.0,0.0,0.0,1.0,1.0
38,7,0,7,8,10,1,0,1,1,0,3,0.94,0.02,0.97,0.0,1.0,0.0,1.0,1.0
39,6,1,3,7,6,1,1,0,0,0,2,0.3,0.07,0.91,1.0,1.0,0.0,1.0,1.0
40,4,4,5,9,1,0,0,1,0,1,1,0.69,0.02,0.99,1.0,1.0,0.0,1.0,1.0
41,5,1,4,2,5,0,0,1,1,1,4,0.69,0.12,0.44,1.0,1.0,1.0,1.0,1.0
42,4,9,7,5,9,1,0,1,1,1,3,0.89,0.95,0.84,1.0,0.0,0.0,1.0,1.0
43,7,4,10,10,9,0,0,1,1,0,4,0.96,0.67,1.0,0.0,0.0,0.0,1.0,1.0
44,7,9,4,2,10,0,1,1,1,1,4,0.75,0.97,0.44,0.0,0.0,1.0,0.0,1.0
45,3,1,3,6,5,1,0,1,0,1,0,0.5,0.09,0.87,1.0,1.0,0.0,1.0,1.0
46,3,9,9,10,5,1,0,1,1,1,0,0.89,0.76,1.0,1.0,0.0,0.0,1.0,1.0
47,4,5,4,9,9,0,0,1,1,1,0,0.65,0.77,1.0,1.0,0.0,0.0,1.0,1.0
48,0,2,3,10,4,0,1,0,0,1,0,0.16,0.08,1.0,1.0,1.0,0.0,1.0,1.0
49,3,10,10,2,0,1,0,1,1,1,1,0.89,0.03,0.44,1.0,1.0,1.0,1.0,1.0
50,5,0,6,10,2,0,0,0,0,1,0,0.73,0.0,1.0,1.0,1.0,0.0,1.0,1.0
51,4,6,8,7,0,1,0,0,1,1,2,0.89,0.03,0.94,1.0,1.0,0.0,1.0,1.0
52,5,1,5,1,6,0,1,1,0,1,3,0.79,0.11,0.12,1.0,1.0,1.0,1.0,1.0
53,4,1,7,9,4,1,1,1,1,1,3,0.93,0.1,1.0,1.0,1.0,0.0,0.0,1.0
54,7,3,2,1,3,0,1,0,1,0,0,0.19,0.24,0.13,0.0,1.0,1.0,1.0,1.0
55,5,2,3,2,5,1,1,1,1,1,1,0.6,0.27,0.44,1.0,1.0,1.0,0.0,1.0
56,5,8,7,8,9,1,0,1,1,1,3,0.92,0.94,0.97,1.0,0.0,0.0,1.0,1.0
57,10,6,9,0,5,1,0,1,0,0,3,0.98,0.57,0.01,0.0,0.0,1.0,1.0,1.0
58,8,1,9,1,5,1,0,1,0,1,3,0.97,0.09,0.12,0.0,1.0,1.0,1.0,1.0
59,10,1,9,7,4,1,0,1,1,1,1,0.99,0.1,0.94,0.0,1.0,0.0,1.0,1.0
60,4,1,7,2,0,1,1,1,1,0,4,0.93,0.02,0.39,1.0,1.0,1.0,1.0,1.0
