,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,10,0,8,2,0,1,0,1,0,0,0,0.004786342282136876,0.6281200694461772,0.02593371599663065,96462705.47527671,0.0,6855554.988995028,115300000.0,0.0
1,0,6,0,0,2,0,0,1,0,1,0,1.5894691246794048,0.6281200694461772,0.022478063385692203,0.0,79772580.03896382,0.0,286800000.0,0.0
2,9,0,0,1,4,0,0,0,0,1,2,0.16236529584990733,0.09627058196625485,0.0033717095078538315,63013976.87816578,29179620.34321382,6111949.7568392595,256100000.00000003,66432.2185025078
3,7,0,5,5,8,0,0,0,0,0,1,0.03836573983148429,0.22141430434509174,0.0066282134611773715,78202772.24236326,37040618.17852801,9357028.590224184,0.0,24328.12768814808
4,3,5,6,1,3,0,0,0,0,0,4,0.006599014127484908,0.07701646557300387,0.0031120459195956773,63902398.205413945,77663793.0178627,6111949.7568392595,0.0,61918.67114985344
5,3,4,0,8,5,0,0,0,0,0,3,0.13129078290516943,0.07701646557300387,0.00032149567924314544,38236335.47388908,77652983.87874901,12311982.23454428,0.0,78703.99306021133
6,2,0,0,1,5,1,0,0,0,0,1,0.3938723487155083,0.23104939671901165,0.009336137758787031,34833919.81147707,31004768.565079123,6111949.7568392595,84600000.0,40241.88589345885
7,0,9,1,8,6,0,0,0,0,0,0,1.6898484251092374,0.4816297459994528,0.0026791306603595453,19628562.840069227,99428486.26901613,12311982.23454428,0.0,0.0
8,3,0,2,3,1,0,0,0,0,1,0,1.0824353056660487,0.6418038797750323,0.019740152860895886,58963426.8446728,24209939.73055957,7642842.87314358,256100000.00000003,0.0
9,0,7,0,0,3,0,0,1,0,0,0,1.5954273430579846,0.6005021686867998,0.02593371599663065,0.0,85390701.44555071,0.0,30700000.0,0.0
10,0,6,0,0,3,1,0,1,0,0,0,1.007329255323779,0.6281200694461772,0.02593371599663065,0.0,81427944.08808179,0.0,115300000.0,0.0
