,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,4,0,0,6,6,1,0,1,0,0,4,0.0,0.0,0.0,41830604.310126595,32920579.03266607,10288445.546812398,115300000.0,0.0
1,3,0,0,1,4,0,1,1,0,0,4,0.0,0.0,0.0,38236335.47388908,29179620.34321382,6111949.7568392595,248500000.0,0.0
2,7,2,0,4,0,0,0,0,1,0,1,0.0,0.0,0.0,53857936.79523132,40035568.95027335,8475930.487777907,121200000.0,0.0
3,0,0,1,5,0,0,0,0,1,0,1,0.0,0.0,0.0,19628562.840069227,0.0,9357028.590224184,121200000.0,0.0
4,0,3,6,1,1,0,0,0,0,0,2,0.0,0.0,0.0,25666062.731524862,67465186.43237296,6111949.7568392595,0.0,0.0
5,0,0,0,7,7,0,0,1,0,0,2,0.0,0.0,0.0,0.0,34931116.629465275,11272591.42225772,30700000.0,0.0
6,0,7,0,7,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,88954235.32427785,11272591.42225772,0.0,0.0
7,4,0,8,2,0,1,0,1,0,0,0,0.0,0.0,0.0,70327413.35033642,0.0,6855554.988995028,115300000.0,0.0
8,0,0,2,2,3,0,0,0,0,1,1,0.0,0.0,0.0,20727091.370783716,27441234.686351985,6855554.988995028,256100000.00000003,0.0
9,1,1,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,31614603.05695028,36981434.68571546,10288445.546812398,0.0,0.0
10,0,7,0,0,0,1,0,0,0,0,3,0.0,0.0,1.2358780267414166e-05,0.0,57949466.75919872,0.0,84600000.0,11.364845931568324
11,3,0,5,0,5,1,1,0,1,1,0,0.0,0.0,0.0,62581170.92102103,31004768.565079123,0.0,679700000.0,0.0
12,3,0,4,5,1,0,0,1,0,0,3,0.0,0.0,0.0,61319233.887297735,24209939.73055957,9357028.590224184,30700000.0,0.0
13,3,3,0,0,0,0,0,0,0,0,1,0.0,0.0,3.7076340802242494e-05,38236335.47388908,43255246.701813385,0.0,0.0,5.51022833045737
14,1,1,7,5,0,1,0,1,0,0,0,0.0,0.0,0.0,58663761.82326566,36981434.68571546,9357028.590224184,115300000.0,0.0
15,3,0,1,1,6,0,1,0,0,0,0,0.0,0.0,0.0,57864898.31395831,32920579.03266607,6111949.7568392595,217800000.0,0.0
16,0,0,0,1,4,0,1,1,1,0,4,0.0,0.0,0.0,0.0,29179620.34321382,6111949.7568392595,369700000.0,0.0
17,5,0,6,5,0,1,0,0,0,0,1,0.0,0.0,0.0,71291927.80421093,0.0,9357028.590224184,84600000.0,0.0
18,0,0,0,1,5,1,0,1,1,0,0,0.0,0.0,0.0,0.0,31004768.565079123,6111949.7568392595,236500000.0,0.0
19,0,2,1,8,6,0,0,0,0,0,1,0.0,0.0,0.0,19628562.840069227,72956147.98293942,12311982.23454428,0.0,0.0
20,0,1,4,0,0,0,0,1,1,0,3,0.0,0.0,0.0,23082898.413408656,36981434.68571546,0.0,151900000.0,0.0
21,1,0,1,6,5,0,0,0,0,0,0,0.0,0.0,0.0,51243165.897019506,31004768.565079123,10288445.546812398,0.0,0.0
22,1,0,1,0,7,0,1,1,0,0,2,0.0,0.0,1.544847533426771e-05,51243165.897019506,34931116.629465275,0.0,248500000.0,9.147840001735867
23,0,2,5,7,3,0,0,0,0,0,0,0.0,0.0,0.0,24344835.447131943,67476803.63662533,11272591.42225772,0.0,0.0
24,8,0,8,0,0,1,1,0,0,0,1,0.0,0.0,3.7076340802242494e-05,86811904.49118099,0.0,0.0,302400000.0,5.51022833045737
25,0,4,3,0,0,1,0,1,0,0,0,0.0,0.0,0.00010298983556178472,21877775.981299564,46648215.31366988,0.0,115300000.0,0.0
26,2,0,6,1,4,1,0,0,1,0,0,0.0,0.0,0.0,60499982.543001935,29179620.34321382,6111949.7568392595,205800000.0,0.0
27,0,0,2,0,6,0,0,0,0,1,0,0.0,0.0,0.0,20727091.370783716,32920579.03266607,0.0,256100000.00000003,0.0
28,3,0,7,5,1,0,0,0,0,0,1,0.0,0.0,0.0,65285494.24020445,24209939.73055957,9357028.590224184,0.0,0.0
29,0,5,4,0,3,0,0,0,0,0,1,0.0,0.0,3.7076340802242494e-05,23082898.413408656,77663793.0178627,0.0,0.0,5.51022833045737
30,6,0,7,4,0,0,0,0,0,0,0,0.0,0.0,0.0,76680815.82150908,0.0,8475930.487777907,0.0,0.0
31,0,6,0,3,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,53986709.40172981,7642842.87314358,115300000.0,0.0
