,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,0,10,6,0,7,0,0,1,1,0,1,0.0,0.0,0.0,25666062.731524862,106054265.06367934,0.0,151900000.0,0.0
1,8,7,0,5,3,1,0,0,0,0,1,0.0,0.0,0.0,58315095.450971164,85390701.44555071,9357028.590224184,84600000.0,0.0
2,9,8,4,5,9,0,0,0,0,0,3,0.0,0.0,0.0,86096875.29157443,101373507.74310192,9357028.590224184,0.0,0.0
3,2,0,10,6,2,0,0,1,1,0,1,0.0,0.0,0.0,66430994.991707884,25785870.637234025,10288445.546812398,151900000.0,0.0
4,1,7,3,2,6,0,1,0,0,0,3,0.0,0.0,0.0,53492379.03824984,90870045.79186478,6855554.988995028,217800000.0,0.0
5,0,0,8,5,7,1,0,1,0,1,0,0.0,0.0,0.0,28496809.040209822,34931116.629465275,9357028.590224184,371400000.0,0.0
6,2,9,4,0,6,1,0,0,1,0,4,0.0,0.0,0.0,57916818.22488573,99428486.26901613,0.0,205800000.0,0.0
7,1,8,0,3,10,0,1,1,1,0,2,0.0,0.0,0.0,31614603.05695028,103694370.72347519,7642842.87314358,369700000.0,0.0
8,9,0,8,0,7,1,0,0,0,1,0,0.0,0.0,0.0,91510785.91837561,34931116.629465275,0.0,340700000.0,0.0
9,0,3,0,1,2,0,1,0,0,1,4,0.0,0.0,0.0,0.0,69041117.3390474,6111949.7568392595,473900000.0,0.0
10,7,10,4,9,0,0,0,0,1,0,0,0.0,0.0,0.0,76940835.20863998,71123148.43421406,13409244.381847173,121200000.0,0.0
11,3,0,10,3,9,1,0,1,0,1,3,0.0,0.0,0.0,69833410.6541199,39253499.44675949,7642842.87314358,371400000.0,0.0
12,6,9,0,4,1,1,1,0,1,0,2,0.0,0.0,0.0,49631657.05519371,90717846.96690963,8475930.487777907,423600000.0,0.0
13,8,6,8,0,0,1,1,0,0,0,1,0.0,0.0,3.7076340802242494e-05,86811904.49118099,53986709.40172981,0.0,302400000.0,5.51022833045737
14,8,3,7,8,4,0,0,0,0,0,1,0.0,0.0,0.0,85364254.21728654,72434867.0450272,12311982.23454428,0.0,0.0
15,0,9,2,6,2,1,0,0,0,0,2,0.0,0.0,0.0,20727091.370783716,92293777.87358409,10288445.546812398,84600000.0,0.0
16,2,0,1,9,0,0,1,1,0,1,1,0.0,0.0,0.0,54462482.6515463,0.0,13409244.381847173,504600000.0,0.0
17,0,4,9,9,6,1,0,0,0,0,1,0.0,0.0,0.0,30011810.331924353,79568794.34633595,13409244.381847173,84600000.0,0.0
18,2,6,5,8,2,0,1,0,0,0,3,0.0,0.0,0.0,59178755.25860901,79772580.03896382,12311982.23454428,217800000.0,0.0
19,10,0,6,2,4,0,0,1,1,1,4,0.0,0.0,0.0,93631959.16659176,29179620.34321382,6855554.988995028,408000000.0,0.0
20,4,0,0,1,6,1,1,1,1,0,3,0.0,0.0,0.0,41830604.310126595,32920579.03266607,6111949.7568392595,454300000.0,0.0
21,6,4,1,1,6,0,0,1,0,0,4,0.0,0.0,0.0,69260219.89526293,79568794.34633595,6111949.7568392595,30700000.0,0.0
22,3,9,4,1,0,1,0,0,1,0,1,0.0,0.0,0.0,61319233.887297735,66507907.23635007,6111949.7568392595,205800000.0,0.0
23,8,3,0,0,8,0,0,1,1,1,1,0.0,0.0,0.0,58315095.450971164,80295864.8803414,0.0,408000000.0,0.0
24,3,6,6,0,10,1,0,0,0,1,0,0.0,0.0,0.0,63902398.205413945,95561071.82886255,0.0,340700000.0,0.0
